"VI name";;"string type";;"Key";;"English";;"Russian"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"Scanned card not in database!\nCard: %s\nHash: %s";;"Scanned card not in database!\nCard: %s\nHash: %s";;"(טי)Scanned card not in database!\nCard: %s\nHash: %s"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"TABLES READ";;"TABLES READ";;"(טי)TABLES READ"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"SELECT RECORDS";;"SELECT RECORDS";;"(טי)SELECT RECORDS"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"GEAR REPORT";;"GEAR REPORT";;"(טי)GEAR REPORT"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"DATES REPORT";;"DATES REPORT";;"(טי)DATES REPORT"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"PRODUCTION BATCH REPORT";;"PRODUCTION BATCH REPORT";;"(טי)PRODUCTION BATCH REPORT"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"OPERATION REPORT";;"OPERATION REPORT";;"(טי)OPERATION REPORT"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"CONFIG HISTORY REPORT";;"CONFIG HISTORY REPORT";;"(טי)CONFIG HISTORY REPORT"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"AUDIT HISTOTY REPORT";;"AUDIT HISTOTY REPORT";;"(טי)AUDIT HISTOTY REPORT"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"OK NOK COUNT REPORT";;"OK NOK COUNT REPORT";;"(טי)OK NOK COUNT REPORT"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"REWORKS REPORT";;"REWORKS REPORT";;"(טי)REWORKS REPORT"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"PACE REPORT";;"PACE REPORT";;"(טי)PACE REPORT"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"CUSTOMER BATCH REPORT";;"CUSTOMER BATCH REPORT";;"(טי)CUSTOMER BATCH REPORT"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"GEAR COMPONENTS REPORT";;"GEAR COMPONENTS REPORT";;"(טי)GEAR COMPONENTS REPORT"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"REPORT CANNOT BE GENERATED";;"REPORT CANNOT BE GENERATED";;"(טי)REPORT CANNOT BE GENERATED"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"Due to it's size PDF version of Operation report cannot be generated. Please generate CSV report instead.";;"Due to it's size PDF version of Operation report cannot be generated. Please generate CSV report instead.";;"(טי)Due to it's size PDF version of Operation report cannot be generated. Please generate CSV report instead."
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"DELETE";;"DELETE";;"(טי)DELETE"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"No record selected for DELETE";;"No record selected for DELETE";;"(טי)No record selected for DELETE"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"INSERT / UPDATE";;"INSERT / UPDATE";;"(טי)INSERT / UPDATE"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"No record selected for INSERT / UPDATE";;"No record selected for INSERT / UPDATE";;"(טי)No record selected for INSERT / UPDATE"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"Record is already up to date with database";;"Record is already up to date with database";;"(טי)Record is already up to date with database"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"SHOW ALL RESULTS";;"SHOW ALL RESULTS";;"(טי)SHOW ALL RESULTS"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"HIDE ALL RESULTS";;"HIDE ALL RESULTS";;"(טי)HIDE ALL RESULTS"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"Yes";;"Yes";;"(טי)Yes"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"No";;"No";;"(טי)No"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"Are you sure you want to exit the application?";;"Are you sure you want to exit the application?";;"(טי)Are you sure you want to exit the application?"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"UPDATE BARCODE";;"UPDATE BARCODE";;"(טי)UPDATE BARCODE"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"No record selected for barcode update";;"No record selected for barcode update";;"(טי)No record selected for barcode update"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"NOT COMPILED!";;"NOT COMPILED!";;"(טי)NOT COMPILED!"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"SQL Client Application\nMSG Assembly Line\nA603A00\n\nAumatic sp. z o.o.\nPilsudskiego 22\n32-050 Skawina\nPOLAND\n\nCOMPILATION DATE: %s\nCOMPILATION TIME: %s\nJakub Longa, 2021\n\n+48 (12) 256-77-90\naumatic.com";;"SQL Client Application\nMSG Assembly Line\nA603A00\n\nAumatic sp. z o.o.\nPilsudskiego 22\n32-050 Skawina\nPOLAND\n\nCOMPILATION DATE: %s\nCOMPILATION TIME: %s\nJakub Longa, 2021\n\n+48 (12) 256-77-90\naumatic.com";;"(טי)SQL Client Application\nMSG Assembly Line\nA603A00\n\nAumatic sp. z o.o.\nPilsudskiego 22\n32-050 Skawina\nPOLAND\n\nCOMPILATION DATE: %s\nCOMPILATION TIME: %s\nJakub Longa, 2021\n\n+48 (12) 256-77-90\naumatic.com"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"Automatic Logout";;"Automatic Logout";;"(טי)Automatic Logout"
"SQL_CLIENT_MAIN.vi";;"Block Diagram";;"Automatic user logout was performed due to inactivity";;"Automatic user logout was performed due to inactivity";;"(טי)Automatic user logout was performed due to inactivity"
